PCA1,PCA2,label,sentence
0.057744615,0.04496791,grammar_english,A small tree swims.
0.025457595,0.0016671557,grammar_english,One bright dog jumps.
0.041970663,-0.004746509,grammar_english,Some cat jumps.
0.002009698,-0.0048155305,grammar_english,The small car runs.
0.028160177,-0.046530645,grammar_english,One blue book runs.
0.03514943,-0.010023181,grammar_english,A big car jumps.
-0.024201268,0.056953613,grammar_english,Some small book sleeps.
0.039975956,-0.014098498,grammar_english,Some big dog flies.
0.020104969,-0.0030008766,grammar_english,A big car flies.
-0.048243064,0.010820341,grammar_english,One small tree thinks.
-0.023667509,0.04885276,grammar_english,One big car sleeps.
0.03774034,-0.011538871,grammar_english,The big book jumps.
0.025279447,0.02098962,grammar_english,A small dog flies.
0.053343263,0.0021758075,grammar_english,One red house swims.
-0.033416152,0.09908308,grammar_english,A slow cat sleeps.
0.0009096655,-0.06312261,grammar_english,One green idea flies.
-0.065918386,0.012856919,grammar_english,One slow scientist works.
0.06946208,0.041823305,grammar_english,The small river swims.
-0.061068162,-0.0032090228,grammar_english,Some red cat thinks.
-0.007366717,0.006204924,grammar_english,A happy computer jumps.
-0.06440181,0.004432606,grammar_english,The big book thinks.
0.034176733,-0.03367291,grammar_english,One green house flies.
0.035101257,-0.023469679,grammar_english,Some big idea swims.
-0.01971891,-0.056662876,grammar_english,A quick idea runs.
0.009585118,-0.033579465,grammar_english,The house runs.
-0.038683593,0.00958717,grammar_english,The slow computer runs.
-0.023294082,0.06910254,grammar_english,Some big dog sleeps.
-0.008580643,-0.005933784,grammar_english,Any scientist flies.
0.045816757,0.047656868,grammar_english,One cat swims.
-0.033749748,0.021585518,grammar_english,One sad scientist runs.
-0.079102986,-0.007594568,grammar_english,One big scientist thinks.
-0.05060801,-0.034055457,grammar_english,One big computer works.
0.013606585,0.013798859,grammar_english,The cat runs.
0.008845135,-0.045458477,grammar_english,Some green car runs.
-0.013653091,-0.03417176,grammar_english,One sad idea jumps.
0.037419055,0.059925828,grammar_english,A sad car swims.
-0.03477166,0.013655777,grammar_english,The sad car works.
0.020597855,0.0059985067,grammar_english,One slow house flies.
-0.018603487,0.03015422,grammar_english,The happy scientist flies.
0.07098182,0.035340667,grammar_english,One small river swims.
-0.030031359,0.001671086,grammar_english,The slow house works.
0.029335236,-0.01588077,grammar_english,The book jumps.
-0.016187811,-0.06648732,grammar_english,A blue idea works.
0.035442118,0.06622885,grammar_english,A quick cat swims.
0.029270792,-0.062131688,grammar_english,Some blue house runs.
-0.0057699536,-0.059873633,grammar_english,Some blue computer runs.
0.0061663426,0.100799195,grammar_english,The sad river sleeps.
0.0493354,0.037074275,grammar_english,A big car swims.
-0.019716123,0.098929554,grammar_english,A sad tree sleeps.
-0.0028497793,0.007003586,grammar_english,The scientist flies.
-0.016413173,0.065072626,grammar_english,The green tree sleeps.
-0.055535354,0.007957462,grammar_english,A red dog thinks.
-0.08787567,-0.0010553903,grammar_english,A computer thinks.
-0.064541414,0.00069294195,grammar_english,The quick house thinks.
-0.02269367,0.01742841,grammar_english,A blue idea sleeps.
-0.0018782377,-0.0024387632,grammar_english,A small computer flies.
-0.04700871,-0.052159615,grammar_english,Some red computer works.
-0.06421452,0.021285132,grammar_english,The slow scientist works.
-0.07298701,0.052508857,grammar_english,A sad cat thinks.
-0.016738378,0.04234038,grammar_english,Some quick book sleeps.
-0.026350359,-0.016348554,grammar_english,Some quick dog works.
-0.035345457,0.0011910688,grammar_english,A bright dog works.
0.027892506,0.017546413,grammar_english,A dog flies.
0.008933387,-0.031234834,grammar_english,A green computer jumps.
-0.063564695,0.01885999,grammar_english,One small cat thinks.
-0.0036828876,-0.014568287,grammar_english,The blue dog works.
-0.031333633,0.006748986,grammar_english,The slow car works.
-0.056943726,-0.016736604,grammar_english,A green house thinks.
0.040295422,0.0023194882,grammar_english,A red cat jumps.
0.0634221,-0.01232223,grammar_english,A blue tree jumps.
-0.02451982,-0.028080057,grammar_english,One small book works.
0.020952702,-0.0061525404,grammar_english,The quick house flies.
0.0074748066,0.0058270735,grammar_english,A small scientist jumps.
-0.06038919,0.04977132,grammar_english,One bright scientist sleeps.
0.044150136,0.038927037,grammar_english,One red cat swims.
-0.088769704,0.014304183,grammar_english,One happy scientist thinks.
-0.066683784,0.0035048157,grammar_english,The bright book thinks.
-0.017442152,-0.051672246,grammar_english,Some green car works.
-0.027379155,0.06534696,grammar_english,The big car sleeps.
-0.016518831,0.008438027,grammar_english,One sad tree works.
-0.040667564,-0.006517565,grammar_english,One sad computer runs.
0.046337336,-0.030015843,grammar_english,A red house jumps.
-0.009114526,-0.027120223,grammar_english,One sad idea flies.
0.031063642,0.035182394,grammar_english,One slow book swims.
0.039931815,0.03670315,grammar_english,One green cat swims.
-0.0039805644,0.04761808,grammar_english,One blue dog sleeps.
0.049672626,-0.005776495,grammar_english,One big tree jumps.
0.045178384,-0.040724438,grammar_english,Some blue house flies.
0.023168564,-0.0066482746,grammar_english,A quick river works.
-0.020525018,0.09837518,grammar_english,The sad tree sleeps.
-0.013882905,0.06378207,grammar_english,The red tree sleeps.
0.039561883,0.06527077,grammar_english,The small dog swims.
0.012947193,0.014664798,grammar_english,One slow tree runs.
-0.06962437,0.024404015,grammar_english,A happy car thinks.
-0.016121212,-0.035764016,grammar_english,The red car works.
-8.746714e-07,-0.018362716,grammar_english,The bright book runs.
0.041532952,0.053803008,grammar_english,Any dog swims.
-0.0042431066,-0.011783855,grammar_english,The blue scientist runs.
0.008225848,-0.0696735,grammar_english,A blue idea runs.
-0.00014796581,-0.016251499,grammar_english,A quick book runs.
-0.01941359,-0.0799663,grammar_english,Some blue idea works.
0.041578304,0.015332536,grammar_english,One slow tree jumps.
0.029147236,-0.029105043,grammar_english,The red idea swims.
0.06109558,0.019019298,grammar_english,One house swims.
-0.031592526,0.022899609,grammar_english,The slow cat works.
0.037784643,0.059241593,grammar_english,The slow car swims.
0.039878786,0.0255288,grammar_english,One sad river runs.
0.07740297,-0.009926691,grammar_english,The red river jumps.
-0.050141074,0.03369015,grammar_english,One slow idea sleeps.
0.06635153,0.014846323,grammar_english,The quick river flies.
-0.03130531,0.08017373,grammar_english,A bright dog sleeps.
-0.055237517,0.0657245,grammar_english,A big scientist sleeps.
0.011143668,0.004643707,grammar_english,Any cat runs.
0.043512966,0.002000168,grammar_english,The tree flies.
0.010457136,0.06555055,grammar_english,The red river sleeps.
0.047474377,0.005722318,grammar_english,The bright river runs.
-0.0009303736,-0.052345842,grammar_english,The quick idea jumps.
0.032787576,-0.013903534,grammar_english,One red dog flies.
0.052766163,0.044289388,grammar_english,Some small cat swims.
-0.05564942,0.07213223,grammar_english,The slow computer sleeps.
-0.0415372,-0.065315016,grammar_english,Some big idea works.
0.05851175,0.013563337,grammar_english,A blue book swims.
0.008806924,0.016747462,grammar_english,One sad car flies.
-0.030947737,0.041500527,grammar_english,A blue computer sleeps.
-0.0057159015,-0.013473885,grammar_english,The sad idea flies.
0.018027665,-0.03771746,grammar_english,One blue computer jumps.
-0.043976013,0.011794164,grammar_english,A blue cat thinks.
-0.017173493,0.066316955,grammar_english,A red dog sleeps.
-0.00014587562,0.0072596944,grammar_english,The slow house runs.
0.034901913,-0.007935828,grammar_english,A small car jumps.
0.013448989,-0.03408017,grammar_english,One red car runs.
0.03686101,0.047747593,grammar_english,One bright cat swims.
0.013450456,-0.035793424,grammar_english,One bright idea swims.
-0.06446382,0.027564775,grammar_english,A small cat thinks.
-0.003370696,-0.074072935,grammar_english,A red idea runs.
0.009595763,-0.013966159,grammar_english,A car runs.
0.017100593,0.049731635,grammar_english,The sad dog flies.
-0.004708147,-0.022258902,grammar_english,Any tree works.
-0.01945308,-0.009909069,grammar_english,The red scientist runs.
-0.052270494,0.050792567,grammar_english,A red scientist sleeps.
0.014318423,0.0039032074,grammar_english,Some happy car flies.
-0.031240901,0.081305735,grammar_english,The sad car sleeps.
-0.046689447,0.0065310784,grammar_english,A green tree thinks.
-0.08060702,-0.013472062,grammar_english,The green computer thinks.
0.037884627,0.008992573,grammar_english,The bright tree flies.
0.026532603,-0.00069348013,grammar_english,One big dog flies.
0.020820292,0.00085838255,grammar_english,The bright tree runs.
-0.06308547,0.009214775,grammar_english,Any cat thinks.
0.058507245,0.021092467,grammar_english,One red tree swims.
0.0480306,0.009979399,grammar_english,A green book swims.
0.054570664,0.024135709,grammar_english,One car swims.
0.025017597,0.024562377,grammar_english,The small dog flies.
-0.025536597,-0.034101192,grammar_english,One big book works.
