PCA1,PCA2,label,sentence,PCA3
-0.049618546,-0.01358563,grammatical_shuffledlanguage,Un arbre petit neda.,0.02932305
-0.03958876,0.0064798202,grammatical_shuffledlanguage,Un gos brillant salta.,-0.0026721426
-0.046869997,-0.005798759,grammatical_shuffledlanguage,Un gat salta.,0.01824023
0.017798277,-0.048936635,grammatical_shuffledlanguage,El cotxe petit corre.,-0.029275348
-0.046453,0.050790705,grammatical_shuffledlanguage,Un llibre blau corre.,-0.044556692
-0.021951143,-0.040555045,grammatical_shuffledlanguage,Un cotxe gran salta.,-0.008909219
0.06529544,0.050345544,grammatical_shuffledlanguage,Un llibre petit dorm.,0.008934492
-0.060895916,0.026164211,grammatical_shuffledlanguage,Un gos gran vola.,0.053296365
-0.03805921,-0.012416981,grammatical_shuffledlanguage,Un cotxe gran vola.,0.011746125
-0.052609254,0.042013083,grammatical_shuffledlanguage,Un arbre petit pensa.,-0.022788784
0.07705844,0.021740388,grammatical_shuffledlanguage,Un cotxe gran dorm.,0.014987292
0.009294675,-0.056490384,grammatical_shuffledlanguage,El llibre gran salta.,-0.00027674818
-0.07662756,0.033077814,grammatical_shuffledlanguage,Un gos petit vola.,0.071360305
-0.042084843,0.06909793,grammatical_shuffledlanguage,Una casa vermella neda.,0.078771405
0.06202855,0.026794853,grammatical_shuffledlanguage,Un gat lent dorm.,0.024282053
-0.07702145,0.06369088,grammatical_shuffledlanguage,Una idea verda vola.,0.0321275
0.003974464,-0.020188477,grammatical_shuffledlanguage,Un científic lent treballa.,-0.057730775
-0.0016096696,-0.05850347,grammatical_shuffledlanguage,El riu petit neda.,0.061343618
-0.025109792,0.07726509,grammatical_shuffledlanguage,Un gat vermell pensa.,0.0052682413
-0.027160767,0.00020199537,grammatical_shuffledlanguage,Un ordinador feliç salta.,-0.037798066
0.009192353,-0.03356264,grammatical_shuffledlanguage,El llibre gran pensa.,-0.018334717
-0.070723966,0.080281794,grammatical_shuffledlanguage,Una casa verda vola.,0.060420506
-0.05920267,-0.015046125,grammatical_shuffledlanguage,Una gran idea neda.,0.033667773
